,Unnamed: 0,fn,fnum,objname,filter,trimsec,biassec
200,200,../Imaging/a207.fits,207,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
201,201,../Imaging/a208.fits,208,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
202,202,../Imaging/a209.fits,209,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
203,203,../Imaging/a210.fits,210,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
204,204,../Imaging/a211.fits,211,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
205,205,../Imaging/a212.fits,212,M101,R,"[:53, 1:2048]","[54:2101, 1:2048]"
206,206,../Imaging/a213.fits,213,M101,R,"[:53, 1:2048]","[54:2101, 1:2048]"
207,207,../Imaging/a214.fits,214,M101,R,"[:53, 1:2048]","[54:2101, 1:2048]"
208,208,../Imaging/a215.fits,215,M101,V,"[:53, 1:2048]","[54:2101, 1:2048]"
209,209,../Imaging/a216.fits,216,M101,V,"[:53, 1:2048]","[54:2101, 1:2048]"
210,210,../Imaging/a217.fits,217,M101,V,"[:53, 1:2048]","[54:2101, 1:2048]"
211,211,../Imaging/a218.fits,218,M101,B,"[:53, 1:2048]","[54:2101, 1:2048]"
212,212,../Imaging/a219.fits,219,M101,B,"[:53, 1:2048]","[54:2101, 1:2048]"
213,213,../Imaging/a220.fits,220,M101,B,"[:53, 1:2048]","[54:2101, 1:2048]"
214,214,../Imaging/a237.fits,237,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
215,215,../Imaging/a238.fits,238,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
216,216,../Imaging/a239.fits,239,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
217,217,../Imaging/a240.fits,240,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
218,218,../Imaging/a241.fits,241,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
219,219,../Imaging/a242.fits,242,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
220,220,../Imaging/a243.fits,243,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
221,221,../Imaging/a244.fits,244,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]"
222,222,../Imaging/a245.fits,245,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
223,223,../Imaging/a246.fits,246,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
